Product.Category,Product.Subcategory,Gender,LifeStage,Trend.Theme,Inspiration.Background,Length,Sleeve,Collar.Design,Neck.Design,Fit,Sample.Manufacturer,Production.Manufacturer,Colors
 ,SWIMMING SUIT BERMUDA, , , , , , , , , ,FRANCA BABY SRL, ,"ΑΝΘΡΑΚΙ_039,039,039,ΒΑΤΟΜΟΥΡΟ_164,036,045,ΚΟΚΚΙΝΟ_242,011,046,ΛΕΥΚΟ_255,255,255,ΜΑΡΕΝ_021,021,053,ΠΡΑΣΙΝΟ_000,113,054,ΡΟΥΑ_046,095,255,ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095,ΧΑΚΙ_102,113,087"
 ,PYJAMAS, , , , , , , , , ,KND ASSOCIATES , ,"ΜΕΝΤΑ_023,191,157,ΡΟΥΑ_046,095,255,ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095"
 ,SWIMMING SUIT, , , , , , , , , ,COCONUDI  PRINCIPITO LIZZI SRL, ,"ΚΟΚΚΙΝΟ_242,011,046,ΛΕΥΚΟ_255,255,255,ΜΠΛΕ_010,010,172"
 ,SWIMMY SET, , , , , , , , , ,EMF TEKSTIL KONFEKSIYON SAN VE TIC ANONIM SIRKETI, ,"ΚΟΚΚΙΝΟ_242,011,046,ΜΑΡΕΝ_021,021,053"
 ,BEACH SHORTS , , , , , , , , , ,A.H.ATALAY TEKSTIL KONFEKSIYON SA Y LTD STL, ,"ΜΠΛΕ_037,045,095"
 ,SWIMMY BLOUSE, , , , , , , , , ,GAMZELIM  KIDSWEAR, ,"ΜΑΥΡΟ_000,000,000,ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095"
 ,SWIMSUIT, , , , , , , , , , , ,"ΑΝΘΡΑΚΙ_039,039,039,ΣΚΟΥΡΟ ΜΠΛΕ_037,045,095,ΦΥΣΤΙΚΙ_084,233,198,ΧΑΚΙ_102,113,087"
 ,BIKINI, , , , , , , , , , , ,"ΑΝΘΡΑΚΙ_111,111,111"
 ,MONOKINI, , , , , , , , , , , ,"ΒΑΤΟΜΟΥΡΟ_164,036,045,ΜΑΡΕΝ_021,021,053,ΠΡΑΣΙΝΟ_000,113,054,ΧΡΥΣΟ_255,144,046"
 ,BLAZER, , , , , , , , , , , ,"ΚΟΚΚΙΝΟ_242,011,046,ΛΕΥΚΟ_255,255,255,ΜΑΡΕΝ_021,021,053,ΜΑΥΡΟ_000,000,000,ΡΟΥΑ_046,095,255"
 ,VEST, , , , , , , , , , , ,"ΑΝΘΡΑΚΙ_039,039,039"
 ,CARDIGAN SWEATER, , , , , , , , , , , ,"ΜΠΛΕ_010,010,172,ΝΕΟΝ ΠΟΡΤΟΚΑΛΙ_255,105,018"
 ,, , , , , , , , , , , ,"ΓΑΛΑΖΙΟ_123,181,255"
,,,,,,,,,,,,,"ΕΚΡΟΥ_255,253,242"
,,,,,,,,,,,,,"ΜΑΥΡΟ_000,000,000,ΜΠΛΕ_021,021,053"
,,,,,,,,,,,,,"ΛΕΥΚΟ_255,255,255,ΜΑΥΡΟ_000,000,000"
